,Index,incident_number,crime,occurred_on,month,intersection,city,state,geometry,location,time,day_of_week,moon_phaseid,moon_phase
529,12875,1719500914,Theft From Motor Vehicle,7/12/17,Jul,800 N PROSPECT ST,  TACOMA,   WA,-122.469347  47.257835,"47.257835, -122.469347",20:00,Wednesday,0,0
530,13171,1721500484,Theft From Motor Vehicle,8/2/17,Aug,700 BROADWAY,  TACOMA,   WA,-122.441168  47.257816,"47.257816, -122.441168",15:00,Wednesday,0,0
531,13260,1728101098,Theft From Motor Vehicle,10/8/17,Oct,700 BROADWAY,  TACOMA,   WA,-122.441168  47.257816,"47.257816, -122.441168",15:00,Sunday,0,0
532,13478,1727309014,Theft From Motor Vehicle,9/29/17,Sep,700 BROADWAY,  TACOMA,   WA,-122.441168  47.257816,"47.257816, -122.441168",20:00,Friday,0,0
533,12101,1705300686,Theft From Motor Vehicle,2/22/17,Feb,800 N OAKES ST,  TACOMA,   WA,-122.471598  47.257774,"47.257774, -122.471598",0:00,Wednesday,0,0
534,12724,1715009045,Theft From Motor Vehicle,5/29/17,May,800 N OAKES ST,  TACOMA,   WA,-122.471598  47.257774,"47.257774, -122.471598",21:00,Monday,0,0
535,11845,1701900935,Theft From Motor Vehicle,1/8/17,Jan,800 N ORCHARD ST,  TACOMA,   WA,-122.505112  47.257617,"47.257617, -122.505112",6:00,Sunday,0,0
536,11750,1701001153,Theft From Motor Vehicle,1/9/17,Jan,6100 N 9TH ST,  TACOMA,   WA,-122.519638  47.25756,"47.25756, -122.519638",16:00,Monday,0,0
537,12996,1719109006,Theft From Motor Vehicle,7/9/17,Jul,6100 N 9TH ST,  TACOMA,   WA,-122.519638  47.25756,"47.25756, -122.519638",14:00,Sunday,0,0
538,13095,1720509013,Theft From Motor Vehicle,7/21/17,Jul,6100 N 9TH ST,  TACOMA,   WA,-122.519638  47.25756,"47.25756, -122.519638",16:00,Friday,0,0
539,13830,1722909005,Theft From Motor Vehicle,8/16/17,Aug,700 ST HELENS AV,  TACOMA,   WA,-122.442524  47.257455,"47.257455, -122.442524",17:00,Wednesday,0,0
540,13636,1729000487,Theft From Motor Vehicle,10/17/17,Oct,800 N STEELE ST,  TACOMA,   WA,-122.468204  47.257394,"47.257394, -122.468204",3:00,Tuesday,0,0
541,12292,1707709007,Theft From Motor Vehicle,3/17/17,Mar,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",22:00,Friday,0,0
542,12428,1709600709,Theft From Motor Vehicle,4/5/17,Apr,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",21:00,Wednesday,0,0
543,12672,1723500470,Theft From Motor Vehicle,8/22/17,Aug,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",18:00,Tuesday,0,0
544,12673,1723500559,Theft From Motor Vehicle,8/22/17,Aug,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",21:00,Tuesday,0,0
545,12736,1724109021,Theft From Motor Vehicle,8/21/17,Aug,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",21:00,Monday,1,New Moon
546,13505,1727609002,Theft From Motor Vehicle,10/2/17,Oct,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",7:00,Monday,0,0
547,13840,1723209004,Theft From Motor Vehicle,8/17/17,Aug,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",13:00,Thursday,0,0
548,13858,1723409022,Theft From Motor Vehicle,8/21/17,Aug,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",20:00,Monday,1,New Moon
549,13864,1723500400,Theft From Motor Vehicle,8/22/17,Aug,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",18:00,Tuesday,0,0
550,14046,1731409004,Theft From Motor Vehicle,11/7/17,Nov,600 S J ST,  TACOMA,   WA,-122.451472  47.257296,"47.257296, -122.451472",17:00,Tuesday,0,0
551,11819,1701800974,Theft From Motor Vehicle,1/18/17,Jan,800 N LAWRENCE ST,  TACOMA,   WA,-122.479273  47.257292,"47.257292, -122.479273",8:00,Wednesday,0,0
552,13529,1727900380,Theft From Motor Vehicle,10/6/17,Oct,800 N LAWRENCE ST,  TACOMA,   WA,-122.479273  47.257292,"47.257292, -122.479273",0:00,Friday,0,0
553,11720,1700801645,Theft From Motor Vehicle,1/8/17,Jan,700 PACIFIC AV,  TACOMA,   WA,-122.439509  47.257289,"47.257289, -122.439509",21:00,Sunday,0,0
554,11732,1700909003,Theft From Motor Vehicle,1/8/17,Jan,700 PACIFIC AV,  TACOMA,   WA,-122.439509  47.257289,"47.257289, -122.439509",17:00,Sunday,0,0
555,11847,1701909006,Theft From Motor Vehicle,1/18/17,Jan,700 PACIFIC AV,  TACOMA,   WA,-122.439509  47.257289,"47.257289, -122.439509",20:00,Wednesday,0,0
